name,category,standard_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,estimated_shelf_life_days,storage_type
"Beef, short loin, t- bone steak, bone- in, separable lean only, trimmed to 1/ 8"" fat, choice, cooked, grilled",Beef Products,steak,219.0,27.3,0.0,11.4,,,
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/ 8"" fat, select, raw",Beef Products,steak,145.0,22.7,0.0,5.32,,,
"Bread, whole- wheat, commercially prepared",Baked Products,slice,254.0,12.3,43.1,3.55,6.0,,
"Carrots, frozen, unprepared",Vegetables and Vegetable Products,g,37.0,0.81,7.92,0.47,3.2,,
"Oranges, raw, navels",Fruits and Fruit Juices,cup,47.0,0.91,11.8,0.15,2.0,,
"Pears, raw, bartlett",Fruits and Fruit Juices,cup,57.0,0.38,15.1,0.16,3.1,,
"Ham, sliced, restaurant",Pork Products,slice,121.0,19.6,2.36,3.68,,,
"Cheese, American, restaurant",Dairy and Egg Products,slice,375.0,17.5,6.35,31.1,,,
"Ketchup, restaurant",Vegetables and Vegetable Products,g,117.0,1.11,26.8,0.55,,,
"Eggs, Grade A, Large, egg white",Dairy and Egg Products,egg,55.0,10.7,2.36,0.0,,,
"Eggs, Grade A, Large, egg yolk",Dairy and Egg Products,egg,334.0,16.2,1.02,28.8,,,
"Eggs, Grade A, Large, egg whole",Dairy and Egg Products,egg,148.0,12.4,0.96,9.96,0.0,,
"Pork, cured, bacon, cooked, restaurant",Pork Products,slice,500.0,40.9,2.1,36.5,,,
"Flour, wheat, all- purpose, enriched, bleached",Cereal Grains and Pasta,g,366.0,10.9,77.3,1.48,,,
"Flour, wheat, all- purpose, enriched, unbleached",Cereal Grains and Pasta,g,358.0,13.1,73.2,1.48,,,
"Flour, wheat, all- purpose, unenriched, unbleached",Cereal Grains and Pasta,g,362.0,12.0,74.6,1.7,3.0,,
"Flour, whole wheat, unenriched",Cereal Grains and Pasta,g,370.0,15.1,71.2,2.73,10.6,,
"Flour, bread, white, enriched, unbleached",Cereal Grains and Pasta,g,363.0,14.3,72.8,1.65,,,
"Flour, rice, white, unenriched",Cereal Grains and Pasta,g,359.0,6.94,79.8,1.3,0.5,,
"Flour, corn, yellow, fine meal, enriched",Cereal Grains and Pasta,g,364.0,6.2,80.8,1.74,4.3,,
